dcr_values,nndr_values,type,round
3.6093845,0.9282717,Reference,round_0
3.6411772,0.9731743,Reference,round_0
3.4497755,0.8767391,Reference,round_0
3.2627752,0.9286739,Reference,round_0
4.0460377,0.9450001,Reference,round_0
2.9113467,0.95009834,Reference,round_0
3.6963756,0.8922777,Reference,round_0
3.3257022,0.97150517,Reference,round_0
2.8222063,0.79947335,Reference,round_0
2.859415,0.8636826,Reference,round_0
3.169931,0.99824715,Reference,round_0
3.3325624,0.9539811,Reference,round_0
1.424704,0.8046882,Reference,round_0
2.3646169,0.9663612,Reference,round_0
3.3501348,0.88202584,Reference,round_0
5.419067,0.9934572,Reference,round_0
1.7468735,0.75398064,Reference,round_0
2.2472425,0.9566239,Reference,round_0
3.2099993,0.89250994,Reference,round_0
2.6077306,0.8752475,Reference,round_0
3.4258952,0.9608736,Reference,round_0
3.747227,0.63552964,Reference,round_0
2.904223,0.9512824,Reference,round_0
3.4065294,0.9695341,Reference,round_0
2.1135051,0.9288508,Reference,round_0
4.6038775,0.98339957,Reference,round_0
6.792241,0.98967683,Reference,round_0
2.6256368,0.92737275,Reference,round_0
2.9871678,0.80268574,Reference,round_0
3.0745022,0.9639896,Reference,round_0
2.7365336,0.9813753,Reference,round_0
3.373727,0.8856468,Reference,round_0
2.7957938,0.9319852,Reference,round_0
3.8029747,0.76496416,Reference,round_0
3.7317078,0.83467436,Reference,round_0
4.6772084,0.9455978,Reference,round_0
1.7446234,0.90505135,Reference,round_0
3.4873455,0.8361683,Reference,round_0
2.7496004,0.97557646,Reference,round_0
5.4825273,0.7202538,Reference,round_0
3.755823,0.99074113,Reference,round_0
1.871742,0.96192515,Reference,round_0
2.8040707,0.857946,Reference,round_0
0.9073238,0.48952848,Reference,round_0
5.0100827,0.95331454,Reference,round_0
3.0053868,0.9821037,Reference,round_0
2.3505695,0.6379743,Reference,round_0
3.5463147,0.7840053,Reference,round_0
2.2857876,0.97569823,Reference,round_0
2.1563182,0.7372877,Reference,round_0
1.4263496,0.6218047,Reference,round_0
2.5946918,0.9572594,Reference,round_0
3.2364142,0.97276455,Reference,round_0
2.3606439,0.63997823,Reference,round_0
3.6236591,0.7693334,Reference,round_0
4.262532,0.9174188,Reference,round_0
3.7974637,0.99683714,Reference,round_0
3.0385606,0.9708394,Reference,round_0
3.0059888,0.85935503,Reference,round_0
3.4004939,0.9612225,Reference,round_0
1.4925684,0.8336359,Reference,round_0
3.1495235,0.95542675,Reference,round_0
3.559551,0.77716964,Reference,round_0
3.0397108,0.9480412,Reference,round_0
3.469309,0.8283307,Reference,round_0
1.9320474,0.9634503,Reference,round_0
3.9151409,0.96189684,Reference,round_0
3.1102982,0.85477513,Reference,round_0
3.4713984,0.86148405,Reference,round_0
4.014508,0.9944678,Reference,round_0
3.3320186,0.84109616,Reference,round_0
1.4158283,0.94890016,Reference,round_0
4.0603547,0.97830373,Reference,round_0
1.3992474,0.82960325,Reference,round_0
4.229798,0.9365452,Reference,round_0
2.5667496,0.6774285,Reference,round_0
5.1836925,0.85466,Reference,round_0
1.3712265,0.5868075,Reference,round_0
4.586423,0.87869316,Reference,round_0
1.7466027,0.86129946,Reference,round_0
4.6727576,0.9855732,Reference,round_0
3.4053102,0.8307087,Reference,round_0
1.0174197,0.58065045,Reference,round_0
3.629835,0.952269,Reference,round_0
3.8710036,0.92715096,Reference,round_0
3.0257032,0.8063997,Reference,round_0
5.207512,0.87959844,Reference,round_0
1.6701869,0.93186265,Reference,round_0
3.1697936,0.88816243,Reference,round_0
1.6644533,0.76783335,Reference,round_0
3.1133034,0.9083898,Reference,round_0
3.0335176,0.976435,Reference,round_0
3.0707982,0.8407972,Reference,round_0
3.8669844,0.9774819,Reference,round_0
2.8290522,0.7920534,Reference,round_0
2.65139,0.719297,Reference,round_0
2.4028645,0.99264807,Reference,round_0
2.0775347,0.75119805,Reference,round_0
3.5422037,0.9791719,Reference,round_0
2.9149976,0.88037384,Reference,round_0
2.3732204,0.930484,Reference,round_0
2.285642,0.7309417,Reference,round_0
2.4427903,0.9787601,Reference,round_0
2.995639,0.91254324,Reference,round_0
5.365979,0.8823585,Reference,round_0
4.5809546,0.9201265,Reference,round_0
3.6137831,0.9861701,Reference,round_0
4.1525683,0.9580945,Reference,round_0
2.0650454,0.9897561,Reference,round_0
4.5267096,0.99022233,Reference,round_0
2.5055459,0.9069984,Reference,round_0
3.3097193,0.9370891,Reference,round_0
1.9996128,0.63060695,Reference,round_0
4.11066,0.9616893,Reference,round_0
4.30867,0.98692834,Reference,round_0
1.3212035,0.8782398,Reference,round_0
3.006841,0.92556167,Reference,round_0
2.6643338,0.78613764,Reference,round_0
4.3713098,0.92201686,Reference,round_0
4.62863,0.8985771,Reference,round_0
3.1858475,0.8214192,Reference,round_0
2.5062513,0.69744545,Reference,round_0
3.7882557,0.96511024,Reference,round_0
3.4976473,0.86621845,Reference,round_0
3.8911133,0.9694531,Reference,round_0
3.177064,0.9034104,Reference,round_0
2.3363702,0.6386131,Reference,round_0
1.9396478,0.9611089,Reference,round_0
2.9894204,0.99234074,Reference,round_0
3.5582035,0.9244326,Reference,round_0
2.1582446,0.9593781,Reference,round_0
2.7404675,0.8784654,Reference,round_0
1.5501969,0.7186977,Reference,round_0
3.7468252,0.9818092,Reference,round_0
