,F-score,feature,type
0,0.992456262482657,Clump Thickness,Original
1,2.0784080573443307,Uniformity of Cell Size,Original
2,1.9161834830915643,Uniformity of Cell Shape,Original
3,0.8405709971080896,Marginal Adhesion,Original
4,0.8361896815995288,Single Epithelial Cell Size,Original
5,1.8534793342968627,Bare Nuclei,Original
6,1.4604366291375561,Bland Chromatin,Original
7,0.8574321779120675,Normal Nucleoli,Original
8,0.17876028808048602,Mitoses,Original
9,2.2512928457687265,Clump Thickness,CTGAN
10,1.5151515924319507,Uniformity of Cell Size,CTGAN
11,1.4055652594466117,Uniformity of Cell Shape,CTGAN
12,0.5765186013161272,Marginal Adhesion,CTGAN
13,0.8794692667319424,Single Epithelial Cell Size,CTGAN
14,3.4413112781333393,Bare Nuclei,CTGAN
15,0.6671062546894145,Bland Chromatin,CTGAN
16,0.8574630186753033,Normal Nucleoli,CTGAN
17,0.05598905716937206,Mitoses,CTGAN
18,1.130239008229054,Clump Thickness,Original
19,1.9006181014849823,Uniformity of Cell Size,Original
20,1.9056602839622891,Uniformity of Cell Shape,Original
21,0.8513566406946858,Marginal Adhesion,Original
22,0.8396151715778841,Single Epithelial Cell Size,Original
23,2.0107803102684763,Bare Nuclei,Original
24,1.1860808241549463,Bland Chromatin,Original
25,0.9422385961878738,Normal Nucleoli,Original
26,0.18405359997427367,Mitoses,Original
27,2.2365823238199263,Clump Thickness,CTGAN
28,1.453616888858171,Uniformity of Cell Size,CTGAN
29,1.211780831576798,Uniformity of Cell Shape,CTGAN
30,0.6155849123447013,Marginal Adhesion,CTGAN
31,0.929047300537761,Single Epithelial Cell Size,CTGAN
32,3.1606888776284117,Bare Nuclei,CTGAN
33,0.8310330700794474,Bland Chromatin,CTGAN
34,0.8776346097406452,Normal Nucleoli,CTGAN
35,0.051589858255983924,Mitoses,CTGAN
36,1.0640953799034032,Clump Thickness,Original
37,1.99847241254104,Uniformity of Cell Size,Original
38,2.0634224725901054,Uniformity of Cell Shape,Original
39,0.8603887911322903,Marginal Adhesion,Original
40,0.9100956560455821,Single Epithelial Cell Size,Original
41,2.0030490138665042,Bare Nuclei,Original
42,1.3600823007051532,Bland Chromatin,Original
43,0.9750738588620096,Normal Nucleoli,Original
44,0.1744359206950663,Mitoses,Original
45,2.4589753101924074,Clump Thickness,CTGAN
46,1.4848754468745553,Uniformity of Cell Size,CTGAN
47,1.2897498321658851,Uniformity of Cell Shape,CTGAN
48,0.5590928191729838,Marginal Adhesion,CTGAN
49,0.8690789075912221,Single Epithelial Cell Size,CTGAN
50,3.797836089338901,Bare Nuclei,CTGAN
51,0.7228116941272195,Bland Chromatin,CTGAN
52,0.8182509888469911,Normal Nucleoli,CTGAN
53,0.06087680004835353,Mitoses,CTGAN
54,1.1481119060296787,Clump Thickness,Original
55,1.9412915821702756,Uniformity of Cell Size,Original
56,1.8481082462455045,Uniformity of Cell Shape,Original
57,0.8685965407282167,Marginal Adhesion,Original
58,0.7837239028922267,Single Epithelial Cell Size,Original
59,1.8172144492687627,Bare Nuclei,Original
60,1.309516756412059,Bland Chromatin,Original
61,0.9380778342771267,Normal Nucleoli,Original
62,0.17255273818778133,Mitoses,Original
63,2.441550130326021,Clump Thickness,CTGAN
64,1.382665564164581,Uniformity of Cell Size,CTGAN
65,1.1596599239613619,Uniformity of Cell Shape,CTGAN
66,0.5331863149839928,Marginal Adhesion,CTGAN
67,0.8968873383391002,Single Epithelial Cell Size,CTGAN
68,3.3333778901777795,Bare Nuclei,CTGAN
69,0.6941903671249733,Bland Chromatin,CTGAN
70,0.7380926874540632,Normal Nucleoli,CTGAN
71,0.056057085089785894,Mitoses,CTGAN
72,1.1355538163324348,Clump Thickness,Original
73,2.043769768784384,Uniformity of Cell Size,Original
74,1.9345511348230198,Uniformity of Cell Shape,Original
75,0.9312689016426611,Marginal Adhesion,Original
76,0.9329781423816131,Single Epithelial Cell Size,Original
77,2.01050510194185,Bare Nuclei,Original
78,1.331694686928655,Bland Chromatin,Original
79,1.024388117926912,Normal Nucleoli,Original
80,0.22145381152606644,Mitoses,Original
81,2.4125860679720503,Clump Thickness,CTGAN
82,1.3182542647800888,Uniformity of Cell Size,CTGAN
83,1.2764818102183055,Uniformity of Cell Shape,CTGAN
84,0.5070071244978719,Marginal Adhesion,CTGAN
85,0.9018123218910932,Single Epithelial Cell Size,CTGAN
86,3.1898724820263324,Bare Nuclei,CTGAN
87,0.6289626780978267,Bland Chromatin,CTGAN
88,0.8028137442491051,Normal Nucleoli,CTGAN
89,0.056464354562358945,Mitoses,CTGAN
90,1.09840071130604,Clump Thickness,Original
91,1.8611669065537513,Uniformity of Cell Size,Original
92,1.9153260000450172,Uniformity of Cell Shape,Original
93,0.8068436548206513,Marginal Adhesion,Original
94,0.795522958880717,Single Epithelial Cell Size,Original
95,2.144639558010173,Bare Nuclei,Original
96,1.3207560853201292,Bland Chromatin,Original
97,0.8190747088442144,Normal Nucleoli,Original
98,0.17005519360596327,Mitoses,Original
99,2.3361762063971514,Clump Thickness,CTGAN
100,1.4547392193981483,Uniformity of Cell Size,CTGAN
101,1.1804288220316403,Uniformity of Cell Shape,CTGAN
102,0.5261472623853162,Marginal Adhesion,CTGAN
103,0.8986439513983221,Single Epithelial Cell Size,CTGAN
104,3.6507602615756793,Bare Nuclei,CTGAN
105,0.6056368604642972,Bland Chromatin,CTGAN
106,0.8485627460658615,Normal Nucleoli,CTGAN
107,0.05780717634461276,Mitoses,CTGAN
108,1.154931325022255,Clump Thickness,Original
109,1.9401341387118922,Uniformity of Cell Size,Original
110,1.9786279802956954,Uniformity of Cell Shape,Original
111,0.9231430243054727,Marginal Adhesion,Original
112,0.8594748565974374,Single Epithelial Cell Size,Original
113,2.072233653565386,Bare Nuclei,Original
114,1.5343899470125448,Bland Chromatin,Original
115,1.007164263230203,Normal Nucleoli,Original
116,0.17696166539082211,Mitoses,Original
117,2.204966179010551,Clump Thickness,CTGAN
118,1.369711352440551,Uniformity of Cell Size,CTGAN
119,1.25204808541012,Uniformity of Cell Shape,CTGAN
120,0.5309597935627859,Marginal Adhesion,CTGAN
121,0.8864488169428929,Single Epithelial Cell Size,CTGAN
122,3.823421223038224,Bare Nuclei,CTGAN
123,0.652101686892595,Bland Chromatin,CTGAN
124,0.8362213883112486,Normal Nucleoli,CTGAN
125,0.06366052727732863,Mitoses,CTGAN
126,1.219154396085224,Clump Thickness,Original
127,1.9247723260007812,Uniformity of Cell Size,Original
128,1.8747524061320833,Uniformity of Cell Shape,Original
129,0.8975322167797098,Marginal Adhesion,Original
130,0.85205721736522,Single Epithelial Cell Size,Original
131,1.8424273580420363,Bare Nuclei,Original
132,1.3435485476935216,Bland Chromatin,Original
133,0.9502056656995715,Normal Nucleoli,Original
134,0.17732653901707152,Mitoses,Original
135,2.6441041569443797,Clump Thickness,CTGAN
136,1.4192454855548136,Uniformity of Cell Size,CTGAN
137,1.3046306962158416,Uniformity of Cell Shape,CTGAN
138,0.5953450744590392,Marginal Adhesion,CTGAN
139,0.9020753559450215,Single Epithelial Cell Size,CTGAN
140,3.5463514137545427,Bare Nuclei,CTGAN
141,0.715053015996441,Bland Chromatin,CTGAN
142,0.8748631163238327,Normal Nucleoli,CTGAN
143,0.059936746504772605,Mitoses,CTGAN
144,1.0402505590038322,Clump Thickness,Original
145,1.716687050878031,Uniformity of Cell Size,Original
146,1.839511927065627,Uniformity of Cell Shape,Original
147,0.7745229829410232,Marginal Adhesion,Original
148,0.7655415078440287,Single Epithelial Cell Size,Original
149,1.9292146518882989,Bare Nuclei,Original
150,1.1449562451950097,Bland Chromatin,Original
151,0.8420095962587,Normal Nucleoli,Original
152,0.16902773061595483,Mitoses,Original
153,2.440990970285898,Clump Thickness,CTGAN
154,1.3980092491067904,Uniformity of Cell Size,CTGAN
155,1.2422121953966667,Uniformity of Cell Shape,CTGAN
156,0.6203962423356157,Marginal Adhesion,CTGAN
157,0.9101593699365317,Single Epithelial Cell Size,CTGAN
158,3.6677386825757914,Bare Nuclei,CTGAN
159,0.6549318247698157,Bland Chromatin,CTGAN
160,0.7623801371837622,Normal Nucleoli,CTGAN
161,0.05393752430510209,Mitoses,CTGAN
162,1.1003999624353902,Clump Thickness,Original
163,1.8760146309831227,Uniformity of Cell Size,Original
164,1.8700256656227565,Uniformity of Cell Shape,Original
165,0.8783440467159237,Marginal Adhesion,Original
166,0.8390587813613459,Single Epithelial Cell Size,Original
167,2.1118215699274527,Bare Nuclei,Original
168,1.1644907816154464,Bland Chromatin,Original
169,0.9005067020890342,Normal Nucleoli,Original
170,0.18345319503844973,Mitoses,Original
171,2.5892594029813885,Clump Thickness,CTGAN
172,1.3702362523967497,Uniformity of Cell Size,CTGAN
173,1.148240276129528,Uniformity of Cell Shape,CTGAN
174,0.5545030737065088,Marginal Adhesion,CTGAN
175,0.8957145918830243,Single Epithelial Cell Size,CTGAN
176,3.5327706745388654,Bare Nuclei,CTGAN
177,0.7805641166368894,Bland Chromatin,CTGAN
178,0.7953154534925192,Normal Nucleoli,CTGAN
179,0.05204033510965093,Mitoses,CTGAN
180,1.0461585839814302,Clump Thickness,Original
181,1.949391990688344,Uniformity of Cell Size,Original
182,1.9928887105964777,Uniformity of Cell Shape,Original
183,0.8153886305296991,Marginal Adhesion,Original
184,0.8523663929411667,Single Epithelial Cell Size,Original
185,1.652390299496368,Bare Nuclei,Original
186,1.1982704485736209,Bland Chromatin,Original
187,0.9275415057009813,Normal Nucleoli,Original
188,0.21064223081410735,Mitoses,Original
189,2.7750381349779056,Clump Thickness,CTGAN
190,1.2750211028142533,Uniformity of Cell Size,CTGAN
191,1.301543053821803,Uniformity of Cell Shape,CTGAN
192,0.5809414683040021,Marginal Adhesion,CTGAN
193,0.9074241236865334,Single Epithelial Cell Size,CTGAN
194,3.8540326326412604,Bare Nuclei,CTGAN
195,0.6361724661239884,Bland Chromatin,CTGAN
196,0.8326622736726598,Normal Nucleoli,CTGAN
197,0.06759259479496964,Mitoses,CTGAN
198,0.9916888946687222,Clump Thickness,Original
199,1.7818878606617383,Uniformity of Cell Size,Original
200,1.9204353903698526,Uniformity of Cell Shape,Original
201,0.8331775198616646,Marginal Adhesion,Original
202,0.9164792342075209,Single Epithelial Cell Size,Original
203,2.0055379990225726,Bare Nuclei,Original
204,1.3428908727032378,Bland Chromatin,Original
205,1.029336072920116,Normal Nucleoli,Original
206,0.18957786812896193,Mitoses,Original
207,2.5432791190499198,Clump Thickness,CTGAN
208,1.3664804471300347,Uniformity of Cell Size,CTGAN
209,1.0986392737972037,Uniformity of Cell Shape,CTGAN
210,0.5171449733060388,Marginal Adhesion,CTGAN
211,1.027464933400647,Single Epithelial Cell Size,CTGAN
212,4.103171661459545,Bare Nuclei,CTGAN
213,0.683912079487387,Bland Chromatin,CTGAN
214,0.8531872705764906,Normal Nucleoli,CTGAN
215,0.06229360435337545,Mitoses,CTGAN
216,1.0409680735036368,Clump Thickness,Original
217,1.8467051728560595,Uniformity of Cell Size,Original
218,1.8987186812334693,Uniformity of Cell Shape,Original
219,1.01132507769534,Marginal Adhesion,Original
220,0.954660187756635,Single Epithelial Cell Size,Original
221,2.0608444861530897,Bare Nuclei,Original
222,1.2545486614994568,Bland Chromatin,Original
223,0.9454708353656696,Normal Nucleoli,Original
224,0.20966615405605227,Mitoses,Original
225,2.613480093207802,Clump Thickness,CTGAN
226,1.444322380919226,Uniformity of Cell Size,CTGAN
227,1.3067606100769231,Uniformity of Cell Shape,CTGAN
228,0.4980142995516343,Marginal Adhesion,CTGAN
229,0.906283756302506,Single Epithelial Cell Size,CTGAN
230,3.5420098636413146,Bare Nuclei,CTGAN
231,0.7283359810403003,Bland Chromatin,CTGAN
232,0.8536891872340742,Normal Nucleoli,CTGAN
233,0.06826047121955114,Mitoses,CTGAN
234,1.0433367210512006,Clump Thickness,Original
235,1.9066166351975424,Uniformity of Cell Size,Original
236,2.0820820206372512,Uniformity of Cell Shape,Original
237,0.9089393449700632,Marginal Adhesion,Original
238,0.8152385014551516,Single Epithelial Cell Size,Original
239,2.0528312533212394,Bare Nuclei,Original
240,1.127003715688819,Bland Chromatin,Original
241,0.8742880441279905,Normal Nucleoli,Original
242,0.18316110520267886,Mitoses,Original
243,2.6280314609675353,Clump Thickness,CTGAN
244,1.5533555352782644,Uniformity of Cell Size,CTGAN
245,1.176883425983102,Uniformity of Cell Shape,CTGAN
246,0.5992920316397045,Marginal Adhesion,CTGAN
247,0.9158189344184986,Single Epithelial Cell Size,CTGAN
248,4.090529489389998,Bare Nuclei,CTGAN
249,0.7707184046654737,Bland Chromatin,CTGAN
250,0.8634111416140717,Normal Nucleoli,CTGAN
251,0.05038109451286433,Mitoses,CTGAN
252,1.0942785886858706,Clump Thickness,Original
253,2.006347987570545,Uniformity of Cell Size,Original
254,1.942235501332675,Uniformity of Cell Shape,Original
255,0.9699104243463235,Marginal Adhesion,Original
256,0.8155878912385195,Single Epithelial Cell Size,Original
257,2.2213749515433356,Bare Nuclei,Original
258,1.3595326533056595,Bland Chromatin,Original
259,0.8119288717773239,Normal Nucleoli,Original
260,0.228822741882058,Mitoses,Original
