"local_cloaking_4","local_cloaking_50","local_cloaking_100","local_cloaking_150","local_cloaking_200","local_cloaking_300"
9,9,9,17,118,13
11,19,10,4,30,167
81,115,159,85,370,93
32,48,98,50,604,188
2,2,2,88,2,187
9,121,247,54,235,34
64,75,179,308,344,380
39,37,73,75,200,47
62,413,54,106,59,301
27,119,65,67,285,97
7,7,7,7,5,6
8,8,8,8,8,9
1,87,37,10,42,37
25,0,413,303,177,258
38,12,3,60,112,52
37,85,181,40,69,140
11,14,12,12,15,18
12,11,215,17,17,11
205,9,65,150,190,55
3,4,4,3,3,123
82,161,52,35,42,105
10,30,37,65,141,233
20,21,20,25,30,35
26,24,27,27,28,32
11,15,25,141,88,190
106,225,69,177,215,320
10,11,12,14,14,18
8,8,8,8,76,138
3,5,4,2,5,379
6,5,5,272,3,9
9,10,10,9,97,359
36,122,148,87,52,208
3,3,2,367,161,207
5,3,4,145,5,4
8,8,8,8,8,9
41,25,32,178,82,38
3,24,129,92,272,334
28,48,58,99,73,151
28,120,111,60,89,20
18,41,75,73,26,187
3,2,1,204,244,31
20,0,1,48,58,153
9,13,28,84,16,195
228,146,307,420,329,15
65,91,210,191,66,200
22,24,24,26,27,23
2,2,2,56,328,108
59,31,14,70,199,97
28,58,113,197,96,217
6,75,8,583,73,102
88,16,112,130,183,101
174,1,80,82,209,129
63,22,32,78,147,42
129,96,202,56,154,22
4,72,200,66,73,234
73,57,28,121,119,202
103,128,87,67,14,43
37,311,8,6,593,26
61,55,33,10,71,128
260,186,279,35,285,336
3,2,314,59,2,170
53,66,44,27,27,184
22,24,24,26,27,23
113,60,113,20,83,563
12,11,13,17,17,11
0,93,37,141,178,12
188,119,44,195,138,126
101,187,212,141,281,255
4,3,101,5,3,108
90,52,85,25,29,36
93,76,167,222,27,489
227,9,1,142,116,161
112,24,104,178,103,134
295,229,63,253,195,439
389,400,24,12,330,99
71,0,194,350,156,117
121,295,275,265,279,240
2,2,2,233,1,15
265,57,19,6,153,24
3,2,57,79,4,38
17,143,372,391,113,273
5,229,2,3,29,377
100,94,165,85,1,153
88,69,152,156,67,12
25,78,46,34,87,102
131,80,32,149,12,165
12,11,13,17,17,11
141,127,212,362,13,438
26,24,27,27,28,32
2,4,4,146,11,262
12,11,13,17,17,11
22,24,24,26,27,23
9,10,10,9,10,13
26,24,27,27,28,32
108,6,31,321,316,73
9,9,9,17,55,91
38,0,99,47,50,36
55,23,164,96,174,15
5,32,162,24,123,22
30,11,26,67,159,107
70,224,80,2,172,58
24,63,15,19,24,12
22,12,59,21,68,88
49,104,105,118,57,168
84,55,589,59,546,172
53,61,188,54,68,208
328,387,101,300,362,382
110,136,122,124,186,55
3,1,22,167,4,501
33,1,12,16,40,188
10,95,156,103,2,262
296,76,47,250,42,54
6,307,46,308,37,207
3,3,3,307,1,22
69,70,59,33,20,0
26,55,141,112,239,52
236,415,1,253,330,343
174,198,365,25,299,181
83,64,55,289,282,98
85,125,81,223,29,110
67,245,81,47,41,182
69,82,69,86,185,219
97,108,58,79,52,176
22,24,24,26,27,23
8,67,185,132,234,85
11,11,15,18,20,29
59,82,216,214,69,216
