"hit_counts.1","hit_counts.2"
23,20
210,201
31,33
422,385
3,2
39,30
6,9
2,1
2,2
6,4
28,20
7,1
15,16
8,5
10,9
2,0
12,9
19,17
32,29
8,8
2,1
23,17
10,6
71,60
0,0
1,0
29,20
4,1
0,0
14,10
82,87
20,9
7,2
5,3
122,120
4,2
155,144
16,19
326,326
3,1
537,545
0,2
1,3
5,3
44,41
30,23
0,0
20,15
7,6
14,15
1,0
106,84
5,6
7,7
2,0
1,0
0,0
9,3
12,13
7,4
279,281
4,8
9,11
12,13
21,18
103,110
201,189
8,13
5,1
7,6
6,4
76,65
94,95
17,18
1,0
0,2
33,36
150,135
23,19
6,0
4,5
19,18
39,45
70,65
4,1
1,1
15,8
54,53
1,0
3,5
11,8
100,94
15,15
15,18
2,3
261,266
2,0
34,35
27,20
1,0
13,12
34,31
205,210
8,4
95,83
250,257
40,34
8,8
5,4
251,250
84,63
133,141
12,7
163,157
5,4
55,41
81,78
5,2
84,78
3,0
3,4
28,27
0,1
32,33
9,6
4,2
31,20
45,55
262,244
19,11
42,41
2,0
73,61
1,0
7,5
52,36
8,2
264,263
0,0
3,0
3,2
23,18
20,13
24,22
3,6
7,2
16,23
97,100
169,183
11,6
28,34
38,46
5,5
18,11
1,1
1,0
8,11
24,15
19,28
1,0
6,6
35,28
2,1
4,1
142,116
22,16
10,10
14,10
3,0
6,5
2,3
30,26
69,67
109,85
7,4
217,193
1,0
17,6
78,67
10,5
21,26
1,1
2,3
113,108
494,490
4,3
7,6
22,27
2,5
78,71
1,2
2,4
0,1
2,0
11,11
488,460
114,109
11,4
118,85
238,225
0,0
224,209
49,40
4,3
7,4
7,8
6,5
6,6
16,11
4,4
7,9
5,5
2,2
10,5
0,1
7,5
79,61
2,3
16,9
11,13
251,243
2,0
423,416
18,22
50,38
54,46
0,1
174,149
18,10
134,115
9,5
43,33
23,17
9,12
1,1
2,2
131,121
5,2
27,22
53,48
6,6
1,0
4,2
0,0
3,5
51,37
11,8
4,0
151,133
0,0
10,8
70,60
1,1
1,0
27,25
15,25
204,173
2,1
2,2
2,1
8,12
0,1
11,10
7,3
3,0
1,3
73,67
1,0
96,86
27,26
84,91
354,330
2,3
19,17
1,0
31,22
3,3
6,0
8,6
66,41
8,7
35,32
9,9
26,23
5,3
2,4
14,15
21,21
7,7
2,2
5,1
11,7
1,0
26,32
4,1
32,22
21,11
32,21
1,3
298,308
9,8
2,0
177,186
34,33
123,112
3,2
3,4
2,0
52,44
4,2
52,44
35,52
13,9
13,11
5,5
4,1
16,11
18,15
35,32
61,51
2,3
50,39
21,16
2,2
21,20
4,4
1,1
64,56
1,1
2,1
18,13
1,1
12,7
16,20
35,28
1,0
2,3
18,10
83,66
72,49
18,12
13,9
2,0
342,303
19,19
2,6
37,29
6,7
5,4
2,2
11,3
6,7
8,6
1,1
72,63
14,11
15,14
15,12
28,15
12,7
210,204
153,135
8,6
1,0
84,76
8,5
52,54
32,30
5,2
4,1
81,65
4,1
164,156
1137,1113
43,44
216,202
113,126
38,33
0,0
1,0
6,4
304,301
1,0
17,16
291,269
26,34
84,87
1,1
23,15
17,24
334,297
5,4
1,0
506,489
17,17
1,0
3,3
3,0
0,0
5,8
57,47
157,124
4,2
12,4
2,0
2,0
60,51
100,79
3,2
58,60
16,12
14,6
10,4
135,124
2,0
2,4
14,8
28,21
15,11
2,0
96,82
72,64
7,4
0,1
87,59
1,1
16,9
36,34
1,1
121,90
27,30
535,514
1,2
31,20
27,19
29,28
16,21
12,9
1,0
25,20
17,25
26,24
12,13
11,11
22,19
11,12
19,20
44,32
27,29
12,14
1,0
2,1
7,5
20,16
6,5
29,28
2,6
7,3
19,17
90,90
47,42
2,0
32,24
3,2
7,4
119,90
13,7
30,28
3,3
9,9
65,63
3,2
21,21
3,4
4,2
11,12
36,35
285,284
2,1
431,429
8,5
3,1
7,8
2,0
108,101
73,70
4,4
21,18
21,9
2,0
28,22
2,2
37,33
8,5
8,5
45,41
62,49
2,1
3,4
11,6
16,6
12,9
1,1
342,308
1,0
59,52
0,1
3,8
316,296
1,0
1,0
55,38
67,53
1039,1026
6,7
218,202
6,3
370,366
4,3
3,0
3,0
42,38
98,76
0,0
5,3
2,0
8,4
33,34
9,10
55,52
81,78
3,1
10,13
1,0
35,46
6,9
15,12
4,0
73,63
5,4
138,138
506,472
10,10
24,16
2,1
367,351
2,2
19,13
14,8
1,3
10,19
13,10
10,8
37,33
19,11
1,0
135,118
18,11
40,36
61,55
1,0
35,30
4,4
12,14
397,380
10,7
6,6
8,5
304,301
1,0
32,35
245,233
5,1
3,6
5,3
65,65
6,7
128,132
406,396
13,11
11,17
3,6
15,19
76,75
11,18
27,18
1,1
21,22
20,14
114,108
52,42
28,27
3,7
61,56
8,12
49,56
172,176
4,1
148,133
8,3
660,625
1,0
1,0
26,24
84,71
1,2
13,10
0,0
35,34
4,3
50,44
3,0
33,22
6,7
12,10
3,1
42,33
31,16
1,0
33,28
1,3
30,20
535,547
190,193
2,0
253,242
1,2
19,11
40,34
67,57
82,79
1,3
8,8
281,280
5,3
29,28
2,1
1,4
2,3
11,9
1,0
1,2
14,15
