"hit_counts.1","hit_counts.2"
3,4
52,62
50,72
21,15
13,7
21,10
8,3
21,12
25,20
1,1
11,3
40,28
1,0
3,0
12,6
35,27
5,7
41,28
29,16
20,22
6,5
3,3
51,36
22,25
3,2
6,2
2,2
18,8
19,32
8,10
46,33
5,4
1,0
8,12
3,4
4,7
2,6
18,13
195,155
5,8
29,22
17,11
7,5
9,5
63,42
25,13
9,7
21,18
1,2
5,6
6,2
11,8
4,1
9,4
9,9
12,10
3,2
6,1
4,1
29,20
60,46
65,67
1,1
3,4
25,16
0,0
62,51
32,28
4,1
4,9
73,56
104,93
12,8
7,7
28,35
6,2
0,1
25,23
38,35
32,34
37,38
32,24
28,28
3,1
2,3
9,12
70,54
23,24
17,10
6,2
37,30
31,30
11,12
3,0
8,5
36,30
15,10
29,23
35,28
10,7
8,5
3,0
25,19
9,4
73,52
8,7
26,24
5,8
8,5
4,7
71,45
8,3
14,13
2,4
2,2
23,10
24,24
109,77
15,12
99,93
8,4
53,62
2,3
8,7
11,9
18,13
12,13
8,12
23,13
1,0
1,0
5,2
3,2
7,3
8,3
16,5
56,39
170,134
7,7
4,0
9,6
35,27
12,3
3,2
4,3
18,12
4,8
19,14
73,75
9,6
7,3
5,4
15,14
14,8
8,8
152,115
41,29
6,4
10,14
9,8
7,5
45,29
11,5
5,1
43,23
1,1
24,18
1,2
17,9
15,10
1,1
22,19
1,0
147,109
78,51
111,85
21,13
18,7
4,2
2,1
17,15
5,2
2,3
18,14
8,8
6,7
13,13
10,9
3,9
161,124
6,3
47,58
4,9
5,6
75,67
6,6
119,133
104,98
66,47
16,11
42,27
248,209
1,1
7,11
38,36
57,55
14,7
9,6
1,0
11,6
39,20
118,122
24,26
5,0
8,5
44,39
3,4
57,60
12,7
22,24
156,128
4,1
80,60
42,30
1,0
24,29
17,11
25,17
10,10
34,18
15,8
50,36
26,17
21,13
34,16
9,6
6,3
77,46
1,1
13,12
8,7
3,0
100,75
6,0
1,2
10,6
8,8
9,6
41,31
2,0
15,11
164,133
6,3
1,0
3,2
4,3
55,37
2,2
34,34
6,6
2,1
1,1
113,96
2,0
17,10
8,10
1,3
585,554
5,1
3,0
5,3
4,3
2,2
31,27
21,17
6,3
2,1
50,34
3,2
14,8
12,12
33,24
1,0
136,113
1,2
32,21
9,7
27,19
27,25
59,44
68,63
1,1
8,9
20,13
63,45
29,25
4,1
9,10
25,19
4,2
7,4
34,32
11,11
2,0
299,265
55,58
43,32
48,50
18,17
1,2
30,27
128,127
2,0
13,13
7,5
44,30
6,4
25,15
13,13
20,12
16,13
11,16
1,0
44,26
18,27
93,87
2,0
33,23
39,38
105,86
11,12
9,10
32,17
106,81
2,1
7,0
2,3
1,0
38,27
3,0
3,4
8,5
15,11
24,11
7,1
20,14
10,9
53,36
1,0
6,3
22,19
141,123
