"local_cloaking_4","local_cloaking_200","local_cloaking_400","local_cloaking_600","local_cloaking_800","local_cloaking_1000"
1,46,238,185,185,87
1,185,8,79,42,295
23,41,8,684,360,606
9,297,58,394,213,153
1,82,26,479,290,88
4,51,192,33,42,447
7,143,12,436,40,315
9,20,88,347,203,384
4,11,583,167,595,3
1,1,582,73,6,1242
1,50,12,306,260,178
11,122,40,727,64,662
4,18,85,269,37,89
2,313,383,168,1413,249
3,5,51,24,17,419
29,15,86,57,1530,4
4,100,112,53,671,457
9,150,78,195,879,126
12,104,102,276,374,20
37,186,535,105,699,18
102,36,201,336,277,39
3,5,143,36,28,185
44,78,16,593,130,194
60,61,202,49,1201,1679
11,336,170,615,15,355
17,12,49,1194,126,417
8,85,765,414,275,385
19,132,18,64,388,52
2,103,212,3,361,290
48,196,26,422,196,130
4,1,37,593,630,242
6,145,15,67,585,1669
20,11,50,305,226,29
18,120,400,285,609,409
7,45,147,679,174,612
0,1,36,284,105,253
32,490,350,50,186,206
12,213,1,421,3,75
1,180,697,599,45,618
1,13,19,17,715,408
16,236,308,131,392,535
95,117,206,154,422,549
4,66,107,98,675,14
2,157,391,238,14,165
5,44,514,418,487,159
2,74,163,61,106,135
1,28,290,12,118,4
7,24,178,240,241,7
6,2,12,126,38,86
1,20,14,89,1003,662
5,209,51,150,218,422
53,41,282,555,1111,311
2,175,121,558,514,1194
10,83,32,36,799,1037
2,114,139,225,94,453
3,17,247,164,123,6
3,198,188,270,107,218
2,235,197,636,705,76
38,39,306,39,583,963
66,20,121,304,65,4
17,17,41,190,21,110
11,5,208,447,1061,186
22,56,5,25,858,425
1,27,303,56,686,680
19,9,1,112,136,779
31,50,130,968,334,613
66,89,229,229,464,461
7,28,472,721,1092,97
2,158,77,327,10,709
4,277,197,269,87,380
1,340,371,7,202,542
2,8,77,263,1416,278
4,254,741,6,750,196
9,200,231,724,614,837
0,4,382,93,195,632
7,43,178,17,93,760
18,15,12,171,45,611
4,12,362,227,528,22
1,141,257,111,70,73
8,4,65,8,412,571
10,227,171,489,289,178
5,138,161,365,410,557
3,207,7,150,254,391
5,43,148,138,32,543
7,94,1,194,280,138
6,13,104,39,177,278
10,7,204,18,31,48
1,27,14,14,25,174
53,145,62,222,36,272
7,15,10,46,100,1400
3,42,126,536,231,28
25,43,450,117,20,419
2,252,676,271,55,73
49,84,149,185,461,405
38,38,193,15,401,7
2,66,437,796,157,718
6,34,125,167,63,340
1,52,74,378,1052,399
3,96,216,68,290,498
61,23,588,261,1309,97
51,124,126,410,214,462
18,67,404,216,808,974
1,244,397,642,601,250
