F-score,feature,type
0.992456262482657,Clump Thickness,Original
2.0784080573443307,Uniformity of Cell Size,Original
1.9161834830915643,Uniformity of Cell Shape,Original
0.8405709971080896,Marginal Adhesion,Original
0.8361896815995288,Single Epithelial Cell Size,Original
1.8534793342968627,Bare Nuclei,Original
1.4604366291375561,Bland Chromatin,Original
0.8574321779120675,Normal Nucleoli,Original
0.17876028808048602,Mitoses,Original
1.130239008229054,Clump Thickness,Original
1.9006181014849823,Uniformity of Cell Size,Original
1.9056602839622891,Uniformity of Cell Shape,Original
0.8513566406946858,Marginal Adhesion,Original
0.8396151715778841,Single Epithelial Cell Size,Original
2.0107803102684763,Bare Nuclei,Original
1.1860808241549463,Bland Chromatin,Original
0.9422385961878738,Normal Nucleoli,Original
0.18405359997427367,Mitoses,Original
1.0640953799034032,Clump Thickness,Original
1.99847241254104,Uniformity of Cell Size,Original
2.0634224725901054,Uniformity of Cell Shape,Original
0.8603887911322903,Marginal Adhesion,Original
0.9100956560455821,Single Epithelial Cell Size,Original
2.0030490138665042,Bare Nuclei,Original
1.3600823007051532,Bland Chromatin,Original
0.9750738588620096,Normal Nucleoli,Original
0.1744359206950663,Mitoses,Original
1.1481119060296787,Clump Thickness,Original
1.9412915821702756,Uniformity of Cell Size,Original
1.8481082462455045,Uniformity of Cell Shape,Original
0.8685965407282167,Marginal Adhesion,Original
0.7837239028922267,Single Epithelial Cell Size,Original
1.8172144492687627,Bare Nuclei,Original
1.309516756412059,Bland Chromatin,Original
0.9380778342771267,Normal Nucleoli,Original
0.17255273818778133,Mitoses,Original
1.1355538163324348,Clump Thickness,Original
2.043769768784384,Uniformity of Cell Size,Original
1.9345511348230198,Uniformity of Cell Shape,Original
0.9312689016426611,Marginal Adhesion,Original
0.9329781423816131,Single Epithelial Cell Size,Original
2.01050510194185,Bare Nuclei,Original
1.331694686928655,Bland Chromatin,Original
1.024388117926912,Normal Nucleoli,Original
0.22145381152606644,Mitoses,Original
1.09840071130604,Clump Thickness,Original
1.8611669065537513,Uniformity of Cell Size,Original
1.9153260000450172,Uniformity of Cell Shape,Original
0.8068436548206513,Marginal Adhesion,Original
0.795522958880717,Single Epithelial Cell Size,Original
2.144639558010173,Bare Nuclei,Original
1.3207560853201292,Bland Chromatin,Original
0.8190747088442144,Normal Nucleoli,Original
0.17005519360596327,Mitoses,Original
1.154931325022255,Clump Thickness,Original
1.9401341387118922,Uniformity of Cell Size,Original
1.9786279802956954,Uniformity of Cell Shape,Original
0.9231430243054727,Marginal Adhesion,Original
0.8594748565974374,Single Epithelial Cell Size,Original
2.072233653565386,Bare Nuclei,Original
1.5343899470125448,Bland Chromatin,Original
1.007164263230203,Normal Nucleoli,Original
0.17696166539082211,Mitoses,Original
1.219154396085224,Clump Thickness,Original
1.9247723260007812,Uniformity of Cell Size,Original
1.8747524061320833,Uniformity of Cell Shape,Original
0.8975322167797098,Marginal Adhesion,Original
0.85205721736522,Single Epithelial Cell Size,Original
1.8424273580420363,Bare Nuclei,Original
1.3435485476935216,Bland Chromatin,Original
0.9502056656995715,Normal Nucleoli,Original
0.17732653901707152,Mitoses,Original
1.0402505590038322,Clump Thickness,Original
1.716687050878031,Uniformity of Cell Size,Original
1.839511927065627,Uniformity of Cell Shape,Original
0.7745229829410232,Marginal Adhesion,Original
0.7655415078440287,Single Epithelial Cell Size,Original
1.9292146518882989,Bare Nuclei,Original
1.1449562451950097,Bland Chromatin,Original
0.8420095962587,Normal Nucleoli,Original
0.16902773061595483,Mitoses,Original
1.1003999624353902,Clump Thickness,Original
1.8760146309831227,Uniformity of Cell Size,Original
1.8700256656227565,Uniformity of Cell Shape,Original
0.8783440467159237,Marginal Adhesion,Original
0.8390587813613459,Single Epithelial Cell Size,Original
2.1118215699274527,Bare Nuclei,Original
1.1644907816154464,Bland Chromatin,Original
0.9005067020890342,Normal Nucleoli,Original
0.18345319503844973,Mitoses,Original
