"k","iter","res_HR1","res_HR2","res_HR3","res_HR_CI_low1","res_HR_CI_low2","res_HR_CI_low3","res_HR_CI_high1","res_HR_CI_high2","res_HR_CI_high3","res_pval1","res_pval2","res_pval3"
"1","0","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","1","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","2","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","3","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","4","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","5","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","6","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","7","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","8","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"1","9","0.42","0.51","0.53","0.33","0.4","0.42","0.54","0.65","0.67","<0.001","<0.001","<0.001"
"3","0","0.34","0.45","0.57","0.26","0.36","0.46","0.45","0.58","0.72","<0.001","<0.001","<0.001"
"3","1","0.42","0.46","0.55","0.32","0.36","0.43","0.54","0.6","0.7","<0.001","<0.001","<0.001"
"3","2","0.47","0.48","0.49","0.37","0.38","0.39","0.6","0.61","0.62","<0.001","<0.001","<0.001"
"3","3","0.41","0.48","0.52","0.32","0.37","0.41","0.53","0.61","0.65","<0.001","<0.001","<0.001"
"3","4","0.39","0.43","0.51","0.3","0.34","0.4","0.5","0.55","0.64","<0.001","<0.001","<0.001"
"3","5","0.37","0.41","0.48","0.29","0.32","0.38","0.48","0.53","0.61","<0.001","<0.001","<0.001"
"3","6","0.41","0.44","0.46","0.32","0.35","0.36","0.52","0.56","0.58","<0.001","<0.001","<0.001"
"3","7","0.43","0.45","0.49","0.33","0.35","0.39","0.55","0.57","0.63","<0.001","<0.001","<0.001"
"3","8","0.4","0.49","0.52","0.31","0.39","0.41","0.52","0.63","0.66","<0.001","<0.001","<0.001"
"3","9","0.42","0.47","0.45","0.32","0.37","0.35","0.54","0.6","0.57","<0.001","<0.001","<0.001"
"5","0","0.37","0.45","0.55","0.28","0.35","0.44","0.48","0.57","0.7","<0.001","<0.001","<0.001"
"5","1","0.42","0.43","0.5","0.33","0.34","0.4","0.55","0.56","0.64","<0.001","<0.001","<0.001"
"5","2","0.48","0.47","0.49","0.38","0.37","0.39","0.61","0.6","0.62","<0.001","<0.001","<0.001"
"5","3","0.4","0.42","0.5","0.31","0.33","0.39","0.52","0.54","0.63","<0.001","<0.001","<0.001"
"5","4","0.35","0.41","0.56","0.27","0.32","0.45","0.46","0.53","0.7","<0.001","<0.001","<0.001"
"5","5","0.48","0.42","0.53","0.38","0.32","0.42","0.62","0.54","0.66","<0.001","<0.001","<0.001"
