"","local_cloaking_0_15","local_cloaking_1_15","local_cloaking_2_15","local_cloaking_3_15","local_cloaking_4_15","local_cloaking_5_15","local_cloaking_6_15","local_cloaking_7_15","local_cloaking_8_15","local_cloaking_9_15","local_cloaking_10_15","local_cloaking_11_15","local_cloaking_12_15","local_cloaking_13_15","local_cloaking_14_15","local_cloaking_15_15","local_cloaking_16_15","local_cloaking_17_15","local_cloaking_18_15","local_cloaking_19_15","local_cloaking_20_15","local_cloaking_21_15","local_cloaking_22_15","local_cloaking_23_15","local_cloaking_24_15"
"1",2,31,16,1,9,22,13,14,17,21,5,53,5,34,1,1,16,66,3,4,6,2,11,19,394
"2",1,6,50,72,18,6,1,3,16,16,3,3,11,3,2,9,22,4,8,110,4,66,44,28,3
"3",2,3,305,67,10,2,6,7,1,3,1,1,1,7,7,5,0,19,14,1254,32,59,13,51,0
"4",73,76,52,23,7,37,37,53,176,33,7,51,322,46,24,553,7,201,76,6,13,114,149,183,1
"5",9,8,1,1,1,5,11,11,7,3,1,3,0,39,5,2,1,0,24,9,2,1,15,8,4
"6",18,28,60,22,1,18,59,31,15,66,162,0,218,30,43,45,33,5,22,37,12,12,37,54,114
"7",2,10,5,18,47,24,9,6,4,3,27,11,11,4,15,5,3,19,75,5,8,21,6,8,10
"8",31,4,57,0,1,6,42,12,5,10,9,15,1,2,2,5,6,8,22,3,17,14,31,12,58
"9",59,8,2,3,1,1,58,6,0,33,1,0,20,14,1,13,17,1,4,0,2,22,6,1,8
"10",13,1,27,56,5,10,1,9,6,2,13,11,2,42,9,5,9,4,7,58,5,15,7,7,5
"11",56,27,6,35,5,48,4,14,3,5,9,31,54,4,12,3,5,48,2,3,8,19,13,11,9
"12",23,53,38,30,1,108,3,104,1,8,4,10,7,6,7,25,6,0,14,3,41,27,7,3,4
"13",30,117,24,13,49,40,12,41,32,29,74,16,35,2,5,2,38,1,79,33,164,3,167,24,18
"14",25,40,209,182,3,1,5,173,25,40,6,15,33,33,142,126,4,25,72,74,54,98,127,106,9
"15",1,19,8,12,3,11,2,1,36,45,2,3,9,4,95,9,5,3,1,1,2,1,3,73,32
"16",1,7,0,1,9,2,2,3,5,18,1,1,1,4,5,0,8,2,16,5,2,4,24,0,2
"17",8,14,3,48,5,6,2,1,2,17,21,0,3,1,7,1,2,19,1,2,6,3,29,18,31
"18",16,113,105,5,10,108,0,363,10,7,10,10,52,26,11,180,13,26,29,10,4,51,98,15,7
"19",35,13,44,62,42,19,27,26,49,47,174,28,1,43,29,13,87,10,48,152,41,5,69,133,89
"20",9,6,57,241,28,224,104,67,29,90,0,17,15,160,1,24,112,6,58,68,80,12,15,182,48
"21",231,4,4,42,22,58,13,76,19,6,5,48,8,1,29,0,47,13,5,22,11,19,15,2,4
"22",1,12,8,4,2,7,27,12,0,4,3,22,4,2,0,8,3,61,42,15,3,4,1,2,5
"23",36,3,9,23,18,39,3,5,54,32,36,60,12,19,19,2,27,5,24,2,2,7,16,4,33
"24",70,48,82,3,32,27,1,19,30,9,88,0,121,14,28,69,1,33,228,261,26,147,43,35,17
"25",33,24,258,47,17,6,0,5,0,2,14,30,1,4,9,4,12,24,11,1,5,19,1,20,5
"26",14,10,7,0,2,3,5,252,13,1,11,1,1,20,28,1,12,75,4,114,1,31,51,80,25
"27",1,27,7,1,14,18,2,59,31,5,24,8,113,50,0,33,15,23,45,91,67,41,37,61,9
"28",0,61,28,6,68,22,18,20,1,9,4,36,7,3,66,6,12,1,9,2,9,4,9,8,4
"29",1,1,0,4,1,1,0,2,1,2,5,1,1,1,0,1,1,10,1,3,0,1,0,1,0
"30",2,19,35,2,1,13,53,16,5,10,22,8,20,12,28,62,9,20,38,1,4,1,1,1,1
"31",41,44,29,115,60,27,1,69,42,3,4,12,3,148,137,35,51,12,5,23,58,41,130,32,3
"32",12,17,32,40,5,52,961,22,148,8,35,180,5,5,30,86,12,73,37,49,15,17,30,2,2
"33",29,0,19,10,34,4,57,1,28,2,112,3,18,49,67,45,29,11,31,32,4,9,15,10,45
"34",5,144,152,44,5,69,90,1,63,29,15,1,72,12,7,1,1,1,5,135,24,35,34,219,423
"35",11,0,9,39,6,1,43,2,16,13,4,59,12,6,5,7,3,5,40,31,5,3,28,6,25
"36",3,1,2,5,1,21,119,1,4,2,1,0,4,15,4,9,3,1,1,9,5,0,2,25,1
"37",11,15,73,281,54,6,3,4,53,20,28,2,0,0,4,2,8,20,4,6,3,1,3,4,131
"38",1,45,29,37,272,45,83,17,5,10,24,98,9,618,48,2,2,14,2,58,2,25,13,54,812
"39",53,20,343,208,198,19,92,49,36,9,83,76,80,7,136,4,38,52,6,223,22,18,7,30,8
"40",2,5,8,10,11,3,20,4,1,1,12,4,20,1,3,12,5,2,6,46,18,3,2,25,1
"41",2,6,40,42,56,10,170,47,142,155,16,31,8,35,39,15,27,12,223,18,247,18,34,97,77
"42",2,7,24,3,1,5,3,238,1,27,5,33,2,6,13,4,150,3,3,9,13,9,285,53,48
"43",23,17,25,36,30,86,128,14,23,28,7,33,25,2,106,51,22,4,1,3,2,1,8,12,8
"44",20,82,64,20,3,21,8,8,144,44,27,4,5,2,1,186,20,25,33,14,36,124,61,531,282
"45",73,3,2,3,32,12,8,49,83,14,42,26,19,11,40,29,32,83,14,31,1,65,84,5,2
"46",153,26,31,442,141,6,50,11,40,241,606,27,0,68,48,450,8,6,1,2,4,11,5,12,1
"47",0,2,2,6,5,13,2,7,2,0,4,4,0,3,2,19,1,12,16,1,1,13,11,2,4
"48",1,20,15,34,102,17,130,93,25,0,45,2,73,1,284,14,56,38,29,7,3,191,56,365,4
"49",11,5,5,9,4,6,9,2,4,6,2,95,4,31,5,2,7,6,19,2,12,2,33,6,2
"50",3,4,7,1,11,13,1,0,5,3,1,3,0,2,1,34,15,3,14,14,7,1,8,1,16
"51",11,6,292,443,3,523,6,16,28,11,41,50,115,73,19,248,7,22,17,41,6,574,1,2,493
"52",7,43,19,35,44,36,44,33,67,119,12,9,20,23,13,67,67,29,60,25,12,30,24,11,11
"53",73,11,5,6,49,6,72,8,66,0,5,53,15,8,4,18,8,6,15,14,46,7,247,4,15
"54",375,1,9,8,11,3,65,1,2,42,30,54,4,3,5,20,114,726,9,5,17,13,60,7,37
"55",1,3,5,31,6,44,19,39,12,2,4,31,5,1,110,1,1,164,3,75,37,2,3,38,4
"56",1,1,6,11,3,4,5,1,5,4,1,31,11,2,2,5,1,4,5,2,7,55,1,1,5
"57",36,1,347,213,313,135,14,123,77,284,81,22,112,4,141,64,156,47,56,26,188,51,205,11,55
"58",68,5,12,3,16,7,37,33,20,3,30,2,50,144,3,9,10,14,7,299,12,27,74,2,10
"59",1,18,83,7,66,5,90,3,15,29,42,3,5,1,28,27,11,31,44,4,92,6,21,252,7
"60",47,11,55,23,122,27,3,1,6,110,49,14,17,121,25,25,22,32,44,40,57,112,62,4,118
"61",270,293,4,42,16,13,1,245,116,4,197,19,17,4,787,15,41,98,7,2,5,692,1,132,465
"62",62,42,4,19,13,1,2,1,15,0,2,30,139,13,1,268,65,87,15,121,17,5,25,41,1
"63",5,4,15,1,9,2,8,4,14,27,13,29,16,27,3,4,25,8,11,2,2,3,78,7,4
"64",6,1,39,36,54,3,0,8,6,1,12,1,39,45,25,21,2,148,5,12,71,20,2,167,7
"65",2,13,30,62,11,81,11,43,14,45,8,6,6,13,3,4,48,10,6,9,35,50,24,9,6
"66",66,0,19,51,1,2,8,12,29,0,43,3,32,15,29,9,243,39,64,1,9,46,2,4,9
"67",108,83,200,88,53,159,26,11,92,162,275,122,29,82,103,239,113,104,85,121,6,191,68,8,92
"68",12,11,43,239,3,109,2,8,18,23,216,15,133,3,7,12,2,12,8,3,240,141,8,4,113
"69",4,1,1,17,5,4,0,3,13,2,8,13,8,9,11,8,2,5,4,9,15,5,5,87,4
"70",6,9,17,5,45,5,1,6,5,2,1,4,5,27,3,3,4,2,4,5,1,18,2,7,4
"71",18,11,13,3,25,0,116,22,12,100,65,116,110,11,10,37,15,10,81,30,6,0,7,2,3
"72",85,94,3,24,8,310,43,741,78,1721,209,6,153,31,7,10,264,26,1405,299,1,81,1,14,238
"73",69,6,29,9,7,20,1,112,24,16,32,9,71,145,9,1,7,88,33,1,9,35,33,20,11
"74",13,40,19,95,24,12,9,78,17,21,3,8,27,23,8,6,7,20,30,20,456,37,7,24,29
"75",3,14,10,34,14,189,4,13,8,4,26,2,1,11,17,2,1,3,1,20,1,38,1,39,1
"76",1,31,71,497,49,52,120,39,19,436,21,16,19,36,35,38,118,20,22,13,21,4,9,4,70
"77",2,44,7,7,194,0,46,1207,1,0,27,10,4,9,20,0,1,2,3,40,31,8,11,2,3
"78",1,16,11,24,18,50,18,19,16,5,3,10,3,4,57,206,30,8,230,114,10,58,200,4,159
"79",74,83,97,71,1,26,25,25,127,1,0,14,29,35,15,4,25,12,9,2,7,12,5,7,67
"80",4,52,3,57,19,23,3,6,26,4,11,5,18,5,49,13,95,5,47,4,2,0,16,19,7
"81",17,0,12,32,2,86,1,12,12,6,9,4,24,5,2,3,3,39,4,7,2,2,3,14,15
"82",10,1,3,1,37,25,13,3,18,11,12,5,30,1,4,91,112,1,48,2,38,7,11,2,0
"83",8,3,2,32,60,32,14,166,25,22,523,1,28,37,244,12,5,40,3,281,29,70,15,42,12
"84",7,4,24,0,23,49,195,4,19,210,1,2,70,11,10,126,5,5,1,38,6,4,1,1,1
"85",12,4,18,3,19,3,27,20,21,16,5,9,3,3,4,50,18,10,15,12,1,1,5,1,2
"86",8,1,17,0,1,2,6,2,2,15,4,4,16,0,0,3,39,1,1,2,8,1,12,1,26
"87",11,130,1,81,1,51,25,15,1,32,24,12,53,19,4,6,3,2,19,8,2,11,8,14,9
"88",1,18,0,8,15,27,40,0,36,13,12,6,16,27,1,13,14,2,0,36,36,2,3,1,32
"89",79,4,19,91,3,15,3,83,2,1,13,13,229,2,13,5,14,94,3,44,215,18,2,5,9
"90",2,4,21,20,3,0,2,5,1,15,3,40,3,1,5,3,9,4,21,1,2,1,6,1,1
"91",6,6,15,71,23,5,59,23,15,99,37,25,20,18,111,67,14,115,8,34,3,47,62,1,6
"92",3,8,55,1,3,45,1,9,8,18,2,6,1,4,81,8,57,42,2,5,8,24,3,249,4
"93",7,4,49,20,4,8,43,25,39,16,122,9,1,1,3,72,168,5,7,3,4,22,160,161,20
"94",18,40,24,20,4,37,2,28,325,77,92,4,8,3,13,34,1,1,17,15,11,4,1,194,2
"95",24,13,77,39,39,22,6,13,40,2,39,52,43,53,19,167,76,42,64,23,16,6,5,90,53
"96",0,337,17,117,40,31,10,80,7,61,114,26,40,101,16,10,29,137,9,12,129,139,41,25,18
"97",0,1,10,24,2,10,2,2,5,7,16,14,33,14,7,13,6,30,15,4,6,5,22,3,1
"98",1,28,3,12,8,38,23,3,6,18,23,19,1,16,13,3,4,5,18,1,3,3,0,10,4
"99",18,1,12,13,1,25,1,1,5,3,20,4,3,6,1,7,31,21,10,1,47,2,1,6,38
"100",136,2,8,10,24,52,277,87,1,74,17,3,39,55,4,14,51,13,36,3,68,29,15,84,1
"101",45,2,9,0,5,5,101,11,2,1,1,5,57,8,17,19,2,294,1,8,5,14,3,224,2
"102",5,17,630,0,1,11,5,88,7,42,0,10,4,16,20,2,4,6,16,65,7,6,7,3,37
"103",2,62,3,8,38,4,5,2,6,59,10,5,13,107,1,7,15,2,13,26,3,12,32,18,3
"104",17,12,10,83,3,10,165,21,7,2,21,20,6,12,12,27,69,11,16,267,10,14,3,12,6
"105",69,30,16,5,84,80,2,10,15,23,53,341,11,44,5,115,7,8,147,122,113,17,2,19,2
"106",94,141,279,142,304,40,200,1,34,66,41,6,19,135,57,71,50,252,19,140,465,206,195,5,2
"107",12,0,24,18,2,1,5,11,9,13,14,6,6,0,25,15,50,3,15,4,1,39,1,18,6
"108",9,1,0,13,2,5,8,4,42,4,3,42,18,3,3,0,8,3,22,9,7,36,10,4,20
"109",7,0,8,26,0,16,37,0,9,30,31,1,49,14,7,1,7,62,5,7,7,5,1,11,12
"110",1,307,35,10,49,1,40,92,2,231,5,3,13,8,36,202,3,16,1,67,1,13,1,6,151
"111",2,40,1,291,91,2,423,5,1,31,8,512,159,311,109,33,12,22,568,4,6,2,44,6,25
"112",10,0,37,2,36,29,31,56,119,571,1,1,11,41,18,40,33,39,168,2,223,2,98,254,44
"113",53,3,148,0,2,10,5,14,6,7,5,5,26,2,7,15,27,1,11,8,10,8,12,52,23
"114",35,71,30,15,9,2,49,5,9,9,35,73,14,1,52,90,24,32,15,10,18,15,243,245,11
"115",17,2,1,19,36,24,17,3,6,2,53,22,56,4,2,19,9,22,13,4,7,4,18,25,8
"116",23,4,49,274,39,104,26,13,138,16,94,84,274,13,57,2,33,191,333,26,4,15,144,54,34
"117",31,6,6,3,1,4,13,7,24,2,18,1,1,4,5,1,1,0,5,2,1,32,60,2,57
"118",71,68,5,28,4,52,62,48,19,36,71,27,38,28,49,5,19,72,44,54,74,6,27,52,4
"119",2,2,17,0,31,1,4,5,23,61,27,50,8,2,4,26,1,4,47,4,5,20,3,21,3
"120",3,22,18,4,13,4,7,5,14,19,38,15,19,1,2,13,2,62,3,7,20,1,8,11,1
"121",66,37,10,46,24,30,4,31,24,261,13,9,1,6,10,32,9,42,9,79,6,55,10,1,26
"122",40,4,2,11,49,7,29,4,22,1,31,22,44,12,1,2,51,11,27,22,1,7,14,4,27
"123",40,13,1,4,11,96,1,3,3,40,5,1,7,11,20,5,9,13,4,8,5,17,4,5,11
"124",70,0,1,4,227,175,133,3,25,215,1,266,556,330,163,1,26,19,34,18,351,77,52,40,52
"125",6,19,34,131,5,22,3,1,9,43,20,174,28,9,28,5,14,3,77,8,4,74,22,5,1
"126",1,2,1,1,0,1,7,8,1,1,9,2,20,8,30,1,9,1,6,1,3,6,5,3,14
"127",2,39,1,11,67,49,72,1,1,121,13,31,18,12,45,43,76,29,4,281,1,1,86,80,44
"128",3,4,2,32,11,5,3,1,7,0,12,5,5,78,3,12,4,3,1,0,19,6,21,0,7
"129",1,45,3,52,3,202,6,25,19,5,5,43,23,11,4,221,1,85,20,15,59,17,45,30,29
"130",21,4,45,7,50,15,6,53,13,4,3,19,44,36,4,54,173,3,87,3,18,14,21,1,2
"131",35,35,13,90,41,68,7,75,101,1,866,6,27,2,56,89,7,6,4,3,6,4,35,1,17
"132",1,1,33,17,0,32,19,20,2,2,3,19,6,11,7,21,30,44,32,24,74,1,90,11,46
"133",3,3,46,1,2,2,1,2,5,0,1,5,116,1,1,33,340,0,1,114,66,19,10,3,7
"134",85,63,117,14,17,1,7,64,214,8,35,66,9,12,1,2,52,3,3,304,59,4,159,21,11
"135",139,82,29,34,22,1,2,3,1,16,17,0,2,26,3,5,9,15,3,1,2,31,2,42,820
"136",15,23,21,11,31,2,59,91,1,6,39,2,60,16,197,28,63,38,36,1,197,19,13,412,8
"137",3,33,194,2,155,3,7,19,0,15,199,14,27,82,49,574,23,7,11,35,5,16,15,1,12
"138",28,8,31,27,42,65,7,86,2,155,2,14,18,95,15,68,430,23,58,128,14,6,1,7,170
"139",6,1,1,1,13,1,1,0,7,24,1,5,4,10,35,1,1,76,1,2,1,8,2,26,0
"140",17,105,1,54,3,43,11,73,477,27,2,70,48,7,39,13,8,40,1,157,67,28,0,21,121
"141",28,2,14,21,44,1,54,36,5,10,7,11,31,11,1,3,8,84,5,2,15,37,57,3,10
"142",14,22,74,7,56,11,4,11,13,12,14,31,5,2,12,36,14,168,209,13,21,126,4,1,109
"143",0,12,17,14,47,479,290,32,7,0,1,2,40,261,17,5,17,16,8,10,790,704,0,2,71
"144",16,31,67,293,41,33,90,10,2,54,53,57,138,155,3,490,37,7,7,58,18,9,8,63,54
"145",2,1,7,2,35,1,9,5,2,1,9,1,2,11,4,4,0,2,1,18,1,2,9,5,10
"146",7,5,1,8,4,7,1,1,0,6,1,107,29,33,64,1,191,80,19,4,12,1,231,1,41
"147",12,28,12,20,6,26,14,40,24,9,29,36,1,7,4,47,15,69,100,35,10,25,66,18,50
"148",185,36,6,14,9,18,2,10,14,74,141,66,126,17,6,3,47,1,3,209,17,163,47,8,15
"149",17,6,1,3,38,639,16,43,13,68,20,22,70,1,30,89,2001,27,1,12,15,16,2,57,2
"150",155,30,5,17,15,4,6,16,100,44,16,8,1,28,78,4,27,25,3,11,32,28,12,35,14
"151",49,36,30,2,20,49,113,8,205,249,111,68,252,9,21,94,39,1,39,51,6,548,211,111,75
"152",2,0,1,13,297,7,1,2,1,1,24,7,13,0,1,2,4,1,6,1,11,4,65,8,4
"153",49,4,69,6,8,31,115,9,21,10,18,14,66,10,41,24,1,47,29,6,6,6,30,51,45
"154",8,9,111,22,181,153,1,45,23,17,86,1,18,20,5,9,33,356,168,432,9,17,2,3,196
"155",11,6,0,4,3,7,180,3,4,27,1,32,3,25,2,32,0,1,2,10,1,4,76,26,1
"156",2,38,4,17,69,20,26,7,68,80,59,73,189,45,30,412,93,210,58,24,61,5,10,4,134
"157",1,8,1,11,61,6,4,4,18,17,6,9,24,8,17,58,47,31,23,14,8,37,44,1,4
"158",27,5,5,20,3,14,10,1,4,243,0,256,10,22,4,59,72,12,1,2,48,34,23,40,19
"159",5,7,6,2,8,5,9,16,20,7,260,1,2,2,4,19,1,2,9,4,2,8,10,66,2
"160",6,1,12,38,36,2,1,19,17,19,2,2,1,12,26,1,42,16,174,0,2,12,9,66,50
"161",8,17,22,213,122,8,363,14,3,25,1,159,61,12,1,35,10,1,13,12,2,12,10,7,1
"162",4,11,13,23,5,4,25,29,19,61,14,1,2,1,26,32,55,21,16,21,9,16,71,7,9
"163",1,1,2,0,3,12,0,0,108,0,5,56,1,0,65,0,2,6,7,1,1,7,20,1,3
"164",15,19,1,105,0,38,43,4,2,4,1,6,2,18,7,1,23,1,12,74,12,23,29,25,3
"165",172,19,183,6,50,97,405,253,18,53,23,23,577,349,6,645,243,17,6,171,4,125,110,276,540
"166",235,33,109,391,138,6,36,259,0,105,16,154,181,88,3,3,31,2,1,6,33,17,4,6,2
"167",12,6,15,26,27,12,15,9,12,16,43,16,12,10,117,17,8,73,18,6,50,30,22,21,42
"168",6,13,2,1,1,4,4,3,30,2,1,5,4,4,11,1,3,5,3,0,1,3,3,30,7
"169",1,13,14,1,1,1,5,2,2,1,3,4,3,8,16,4,0,1,5,1,5,1,3,6,1
"170",31,27,5,79,3,9,35,147,110,74,44,3,27,25,2,2,97,5,28,24,9,21,35,13,16
"171",2,2,3,2,19,11,20,26,3,1,3,0,3,1,2,17,3,47,4,7,8,0,2,17,51
"172",48,24,5,63,42,10,164,34,17,23,112,81,3,15,8,19,6,9,41,8,4,219,21,11,24
"173",13,1,3,7,196,0,16,26,10,7,3,11,8,10,12,15,6,93,12,9,24,41,23,42,3
"174",32,40,69,97,204,72,52,128,294,1763,4,133,166,10,58,133,86,278,84,137,8,4,208,2,406
"175",1,128,15,77,25,136,238,53,8,9,46,171,61,264,120,25,77,84,299,256,74,197,300,239,45
"176",15,86,189,202,125,15,14,111,110,49,39,147,49,36,45,74,315,118,7,18,434,137,270,144,73
"177",43,21,4,39,30,1,22,50,23,12,13,50,70,0,30,25,1,13,28,3,16,3,23,53,37
"178",78,9,62,33,52,7,10,58,13,28,27,3,15,1,57,13,18,12,15,19,7,27,1,21,36
"179",15,5,6,58,59,125,0,17,26,8,10,4,71,7,18,65,2,1,1,1,46,41,2,56,22
"180",11,10,15,5,34,309,23,4,96,16,141,1,2,1,269,15,1,1,9,2,1,5,784,129,25
"181",3,7,10,9,8,138,2,14,2,4,3,9,6,2,3,0,3,8,2,24,15,3,1,3,6
"182",801,31,11,44,2,10,19,5,3,17,16,3,215,17,104,15,23,12,38,265,15,7,2,10,13
"183",1,29,2,2,1,2,1,1,1,1,3,1,1,2,0,3,2,1,0,0,0,0,1,3,1
"184",984,10,19,1134,3,59,79,100,15,139,40,40,399,27,3,18,47,393,24,41,92,15,237,66,6
"185",134,1,40,29,1,56,1,6,13,218,50,48,123,2,5,3,1,23,7,18,19,1,1,30,3
"186",1,1,2,1,3,0,4,2,1,36,0,3,1,2,1,2,9,1,1,2,2,1,1,0,6
"187",2,221,12,195,2,7,31,3,7,69,34,162,28,31,95,143,2,21,5,17,219,5,34,11,3
"188",40,20,48,18,18,2,57,451,31,58,22,258,63,64,3,79,221,139,16,32,55,27,244,80,84
"189",9,10,33,29,18,17,4,1,5,0,0,13,23,1,1,6,1,8,31,1,1,0,9,27,2
"190",51,132,188,2,25,128,58,240,105,383,333,31,208,148,35,81,0,170,175,123,1,1,210,111,1
"191",0,84,2,17,3,1,1,2,37,1,10,4,10,0,1,62,1,10,69,15,1,3,1,1,4
"192",4,72,43,2,0,8,3,1,8,34,8,2,19,2,18,1,2,1,4,2,19,1,1,1,4
"193",7,2,7,4,3,1,3,8,1,3,4,24,1,2,3,2,2,1,15,4,0,1,2,7,2
"194",5,1,4,3,8,1,11,70,13,14,11,15,26,2,24,45,20,8,19,18,11,12,1,4,27
"195",3,16,124,11,23,18,3,22,18,28,1,4,10,32,8,49,15,18,23,29,24,19,29,21,17
"196",91,16,2,113,72,0,21,1,2,21,9,0,2,175,29,2,0,2,87,114,3,14,259,51,4
"197",36,454,341,6,91,2,53,139,1690,55,31,90,4,6,14,22,63,97,23,136,75,72,171,65,9
"198",23,7,1,33,16,2,1,64,1,8,1,107,0,4,3,1,284,1,3,1,56,13,7,2,1
"199",5,127,14,14,126,13,4,74,247,69,39,7,282,309,11,22,14,724,2,111,34,62,26,374,1
"200",4,8,263,26,24,154,3,9,21,1,123,12,32,14,4,0,32,8,5,20,847,21,15,3,3
"201",33,59,40,10,5,2,42,16,14,3,4,4,13,72,1,1,3,10,49,10,11,7,5,11,3
"202",104,43,164,36,15,83,212,173,265,296,641,20,220,37,209,240,340,23,197,149,157,60,169,44,292
"203",7,13,71,91,86,77,7,6,159,13,87,20,9,66,4,75,243,322,15,29,366,5,22,116,188
"204",73,3,174,2,161,162,126,7,7,1,170,9,128,197,37,31,5,90,3,67,45,65,16,197,356
