"","hit_counts.1","hit_counts.2"
"1",10,6
"2",131,132
"3",49,42
"4",95,83
"5",2,1
"6",235,233
"7",44,52
"8",219,215
"9",275,256
"10",292,273
"11",7,6
"12",10,7
"13",4,2
"14",279,278
"15",45,38
"16",71,57
"17",11,9
"18",10,8
"19",2,3
"20",4,2
"21",154,153
"22",193,182
"23",21,19
"24",25,22
"25",5,3
"26",19,15
"27",10,9
"28",10,7
"29",3,2
"30",5,4
"31",10,8
"32",74,58
"33",4,1
"34",4,2
"35",10,7
"36",241,238
"37",39,34
"38",1,0
"39",112,97
"40",92,75
"41",2,1
"42",172,161
"43",218,203
"44",137,129
"45",668,663
"46",22,20
"47",2,1
"48",166,152
"49",103,95
"50",50,37
"51",97,90
"52",162,165
"53",124,97
"54",93,84
"55",113,103
"56",170,148
"57",178,163
"58",22,16
"59",132,126
"60",383,373
"61",2,1
"62",131,114
"63",22,20
"64",635,631
"65",10,8
"66",129,110
"67",49,49
"68",243,244
"69",3,2
"70",121,125
"71",268,270
"72",21,8
"73",18,23
"74",337,333
"75",326,323
"76",430,418
"77",239,235
"78",3,1
"79",329,324
"80",3,1
"81",62,60
"82",303,301
"83",54,60
"84",173,177
"85",62,54
"86",184,188
"87",10,8
"88",17,16
"89",25,22
"90",2,1
"91",10,8
"92",22,20
"93",10,8
"94",25,22
"95",204,192
"96",10,6
"97",101,104
"98",127,124
"99",185,162
"100",44,44
"101",96,82
"102",22,18
"103",93,96
"104",140,137
"105",680,674
"106",167,156
"107",373,368
"108",81,69
"109",412,411
"110",42,39
"111",295,299
"112",119,108
"113",88,80
"114",2,1
"115",15,12
"116",63,69
"117",252,245
"118",2,3
"119",40,37
"120",228,206
"121",53,40
"122",162,140
"123",21,19
"124",22,20
"125",74,73
"126",14,9
"127",36,21
"128",445,445
"129",3,2
"130",10,8
"131",140,135
"132",149,140
"133",4,1
"134",281,263
"135",11,9
"136",13,11
"137",3,2
"138",13,11
"139",11,9
"140",93,85
"141",2,1
"142",10,7
"143",189,169
"144",308,310
"145",264,263
"146",58,57
"147",7,6
"148",7,4
"149",49,38
"150",407,393
"151",28,26
"152",19,17
"153",1,0
"154",10,8
"155",32,23
"156",65,44
"157",2,1
"158",14,9
"159",363,367
"160",336,329
"161",176,172
"162",186,183
"163",14,9
"164",97,97
"165",13,11
"166",25,22
"167",22,20
"168",11,11
"169",62,52
"170",27,25
"171",10,8
"172",149,146
"173",10,8
"174",49,29
"175",7,6
"176",28,26
"177",4,2
"178",5,8
"179",25,20
"180",62,63
"181",110,100
"182",82,90
"183",219,216
"184",225,217
"185",240,240
"186",24,19
"187",10,9
"188",25,22
"189",14,9
"190",10,8
"191",13,6
"192",279,263
"193",28,26
"194",21,19
"195",43,26
"196",37,29
"197",25,22
"198",10,6
"199",25,22
"200",20,17
"201",154,138
"202",7,6
"203",7,6
"204",138,131
"205",53,58
"206",57,44
"207",25,22
"208",5,3
"209",66,56
"210",94,75
"211",22,20
"212",25,22
"213",88,82
"214",427,414
"215",273,272
"216",95,85
"217",6,3
"218",15,7
"219",14,10
"220",22,20
"221",104,79
"222",8,3
"223",7,6
"224",12,6
"225",59,40
"226",93,81
"227",470,454
"228",8,6
"229",200,198
"230",49,53
"231",183,179
"232",9,10
"233",162,153
"234",8,6
"235",333,333
"236",10,8
"237",24,29
"238",25,22
"239",301,286
"240",64,59
"241",24,15
"242",376,371
"243",2,1
"244",3,4
"245",22,11
"246",2,1
"247",2,1
"248",143,133
"249",13,11
"250",21,19
"251",14,9
"252",59,48
"253",127,113
"254",66,70
"255",79,58
"256",275,276
"257",66,65
"258",6,7
"259",117,99
"260",2,1
"261",17,15
"262",25,22
"263",111,108
"264",10,6
"265",1,1
"266",43,35
"267",170,161
"268",21,19
"269",22,20
"270",25,22
"271",48,51
"272",14,9
"273",4,1
"274",47,59
"275",47,38
"276",134,128
"277",74,76
"278",92,98
"279",4,1
"280",630,623
"281",54,52
"282",28,26
"283",25,22
"284",35,28
"285",244,250
"286",88,86
"287",358,342
"288",80,71
"289",16,8
"290",25,22
"291",15,19
"292",25,22
"293",51,44
"294",9,7
"295",25,22
"296",25,22
"297",76,71
"298",84,78
"299",3,1
"300",28,26
"301",21,16
"302",28,26
"303",6,4
"304",24,11
"305",51,46
"306",406,401
"307",119,110
"308",51,46
"309",14,9
"310",88,79
"311",25,22
"312",307,294
"313",609,599
"314",22,20
"315",31,24
"316",18,15
"317",115,107
"318",294,277
"319",136,128
"320",12,13
"321",70,56
"322",28,26
"323",9,13
"324",25,22
"325",6,4
"326",34,24
"327",134,127
"328",25,22
"329",11,9
"330",28,26
"331",146,138
"332",28,26
"333",94,88
"334",379,368
"335",43,45
"336",467,459
"337",5,3
"338",10,8
"339",103,100
"340",62,67
"341",22,20
"342",265,244
"343",5,6
"344",21,24
"345",19,24
"346",10,10
"347",4,3
"348",193,180
"349",43,39
"350",458,448
"351",10,8
"352",10,7
"353",12,8
"354",34,36
"355",3,2
"356",145,148
"357",224,208
"358",3,2
"359",3,2
"360",139,122
"361",4,2
"362",28,26
"363",22,20
"364",6,4
"365",95,97
"366",35,34
"367",28,26
"368",9,4
"369",276,268
"370",11,9
"371",11,9
"372",44,31
"373",103,86
"374",2,2
"375",10,9
"376",235,215
"377",308,303
"378",148,150
"379",21,19
"380",5,3
"381",167,163
"382",21,19
"383",14,9
"384",10,9
"385",156,142
"386",189,180
"387",140,143
"388",13,11
"389",402,389
"390",15,12
"391",223,226
"392",22,20
"393",2,1
"394",22,20
"395",393,390
"396",4,2
"397",22,20
"398",169,160
"399",4,2
"400",17,8
"401",41,41
"402",9,8
"403",22,20
"404",30,26
"405",421,419
"406",255,245
"407",74,67
"408",153,137
"409",3,2
"410",13,11
"411",5,5
"412",171,155
"413",146,137
"414",22,20
"415",10,7
"416",294,287
"417",37,31
"418",4,2
"419",189,181
"420",116,99
"421",208,195
"422",42,37
"423",10,9
"424",46,37
"425",13,8
"426",0,0
"427",205,190
"428",144,147
"429",51,50
"430",381,373
"431",11,9
"432",28,26
"433",13,8
"434",5,3
"435",77,74
"436",204,196
"437",13,8
"438",347,342
"439",187,180
"440",178,166
"441",32,29
"442",225,227
"443",16,15
"444",4,2
"445",125,116
"446",5,3
"447",159,149
"448",2,1
"449",151,135
"450",10,9
"451",124,117
"452",38,29
"453",87,75
"454",10,9
"455",2,1
"456",5,4
"457",2,1
"458",4,2
"459",10,9
"460",13,8
"461",13,11
"462",88,82
"463",10,9
"464",74,68
"465",111,106
"466",15,10
"467",320,310
"468",5,5
"469",22,20
"470",4,2
"471",219,228
"472",5,4
"473",200,187
"474",34,38
"475",148,136
"476",28,26
"477",77,58
"478",2,1
"479",178,174
"480",338,324
"481",5,4
"482",5,3
"483",117,108
"484",11,9
"485",11,9
"486",4,2
"487",11,9
"488",3,1
"489",10,8
"490",28,26
"491",7,3
"492",108,107
"493",421,409
"494",13,8
"495",11,9
"496",28,26
"497",10,9
"498",13,8
"499",5,4
"500",78,73
"501",21,22
"502",5,3
"503",6,4
"504",73,58
"505",80,73
"506",147,145
"507",411,404
"508",23,15
"509",58,56
"510",21,19
"511",2,1
"512",10,9
"513",10,8
"514",168,145
"515",2,1
"516",21,8
"517",2,1
"518",7,6
"519",21,19
"520",10,7
"521",237,235
"522",10,6
"523",4,2
"524",11,9
"525",2,0
"526",148,130
"527",13,11
"528",343,331
"529",11,9
"530",262,254
"531",10,9
"532",30,29
"533",5,5
"534",123,112
"535",87,70
"536",21,19
"537",25,22
"538",391,384
"539",53,46
"540",13,11
"541",30,29
"542",68,60
"543",5,3
"544",10,7
"545",10,9
"546",10,6
"547",10,6
"548",25,22
"549",21,19
"550",2,1
"551",206,210
"552",112,105
"553",55,47
"554",106,98
"555",43,42
"556",6,4
"557",52,44
"558",21,19
"559",22,20
"560",6,3
"561",4,2
"562",10,9
"563",22,20
"564",22,20
"565",25,22
"566",92,86
"567",126,110
"568",88,79
"569",13,11
"570",45,44
"571",28,26
"572",235,234
"573",4,2
"574",65,55
"575",13,8
"576",184,170
"577",108,93
"578",46,42
"579",4,2
"580",5,3
"581",10,9
"582",3,2
"583",430,417
"584",21,19
"585",68,61
"586",21,19
"587",6,4
"588",11,9
"589",113,104
"590",58,57
"591",160,162
"592",145,131
"593",28,26
"594",129,127
"595",13,8
"596",5,6
"597",226,225
"598",5,0
"599",101,93
"600",135,131
"601",391,376
"602",21,19
"603",11,9
"604",10,9
"605",21,19
"606",481,470
"607",252,236
"608",28,26
"609",19,15
"610",46,38
"611",65,60
"612",408,397
"613",11,9
"614",10,9
"615",408,391
"616",10,9
"617",28,26
"618",61,61
"619",13,11
"620",187,166
"621",10,9
"622",44,41
"623",10,9
"624",5,3
"625",1,0
"626",21,19
"627",21,19
"628",28,26
"629",11,9
"630",21,19
"631",2,1
"632",2,1
"633",13,12
"634",21,19
"635",204,192
"636",155,163
"637",4,2
"638",11,9
"639",14,9
"640",21,19
"641",10,9
"642",549,523
"643",88,78
"644",28,26
"645",22,20
"646",10,8
"647",3,1
"648",3,1
"649",392,386
"650",28,26
"651",123,114
"652",14,9
"653",104,92
"654",560,559
"655",101,92
"656",119,109
"657",10,8
"658",119,107
"659",22,20
"660",360,346
"661",2,1
"662",13,8
"663",28,26
"664",11,9
"665",5,5
"666",44,44
"667",120,109
"668",28,26
