"","local_cloaking_0_15","local_cloaking_1_15","local_cloaking_2_15","local_cloaking_3_15","local_cloaking_4_15","local_cloaking_5_15","local_cloaking_6_15","local_cloaking_7_15","local_cloaking_8_15","local_cloaking_9_15","local_cloaking_10_15","local_cloaking_11_15","local_cloaking_12_15","local_cloaking_13_15","local_cloaking_14_15","local_cloaking_15_15","local_cloaking_16_15","local_cloaking_17_15","local_cloaking_18_15","local_cloaking_19_15","local_cloaking_20_15","local_cloaking_21_15","local_cloaking_22_15","local_cloaking_23_15","local_cloaking_24_15"
"1",11,10,14,11,10,9,10,9,11,8,11,11,11,11,12,12,10,9,10,8,7,9,8,7,8
"2",99,121,3,1,53,49,26,104,82,59,231,0,17,19,147,81,9,9,2,8,6,62,9,15,129
"3",361,206,376,291,261,209,152,123,371,109,157,283,231,161,118,64,154,156,376,151,371,144,127,291,142
"4",46,96,3,76,6,117,1,43,232,2,240,632,507,10,14,44,109,194,35,76,178,610,11,2,67
"5",2,3,2,2,5,2,3,3,2,2,4,2,3,2,2,2,3,2,2,2,3,2,3,3,3
"6",198,42,6,163,24,42,164,36,23,7,129,119,34,95,8,5,143,23,4,61,206,179,114,55,7
"7",20,49,229,262,415,415,432,334,390,385,364,206,54,36,340,225,222,306,340,40,24,260,251,426,45
"8",91,302,270,160,273,72,168,42,87,29,25,28,280,93,38,23,285,72,81,257,299,225,41,75,204
"9",98,440,141,277,1,335,255,443,443,444,147,395,150,257,151,140,186,387,1,291,392,407,289,402,146
"10",49,7,291,281,30,280,87,180,218,170,82,29,29,284,30,52,6,42,0,37,43,285,33,135,277
"11",8,7,8,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7
"12",8,10,9,8,8,9,8,9,9,9,8,11,8,9,8,8,8,9,8,8,8,9,8,8,8
"13",4,29,2,2,40,8,5,22,47,15,6,2,8,2,86,205,10,2,1,1,136,173,1,5,10
